language,condition,generations,file_r5,file_ceiling_normalized,file_p5,test_r5,test_p5
Java,issue_only,130,0.11666666666666667,0.11666666666666667,0.10448717948717949,0.06538461538461539,0.06153846153846154
Java,patch_only,130,0.8397435897435896,0.8397435897435896,0.7834615384615384,0.7902564102564102,0.8823076923076923
Java,issue_plus_patch,130,0.8538461538461538,0.8538461538461538,0.7737179487179485,0.7933333333333332,0.8826923076923077
JavaScript,issue_only,120,0.0010416666666666667,0.0016666666666666668,0.0016666666666666668,0.0,0.0
JavaScript,patch_only,120,0.7868055555555556,0.7968055555555558,0.6968055555555555,0.6959325396825395,0.940138888888889
JavaScript,issue_plus_patch,120,0.7791666666666667,0.7904166666666669,0.7168055555555556,0.673015873015873,0.9125
Python,issue_only,630,0.2592592592592593,0.2592592592592593,0.2124338624338624,0.05380952380952381,0.05476190476190476
Python,patch_only,630,0.9513227513227513,0.9513227513227513,0.678703703703703,0.8649206349206348,0.9126455026455027
Python,issue_plus_patch,630,0.92526455026455,0.92526455026455,0.6523809523809518,0.827142857142857,0.8833333333333333
TypeScript,issue_only,120,0.04189439033189034,0.065,0.09041666666666666,0.0,0.0
TypeScript,patch_only,120,0.5611677789802789,0.7766666666666662,0.7477777777777777,0.7877777777777779,0.8509722222222222
TypeScript,issue_plus_patch,120,0.5539293229918232,0.7649999999999995,0.7105555555555554,0.7475000000000002,0.8148611111111113
