condition,models,tasks,generations,parse_ok,parse_ok_ci_low,parse_ok_ci_high,file_ceiling_normalized,file_ceiling_normalized_ci_low,file_ceiling_normalized_ci_high,file_r5,file_r5_ci_low,file_r5_ci_high,file_p5,file_p5_ci_low,file_p5_ci_high,test_r5,test_r5_ci_low,test_r5_ci_high,test_p5,test_p5_ci_low,test_p5_ci_high
diff_parser,0,100,0,1.0,1.0,1.0,,,,0.9291783910533912,0.840237113784908,0.9874055232558138,1.0,1.0,1.0,0.9555238095238096,0.9217080280023168,0.9812121212121211,1.0,1.0,1.0
issue_only,10,100,1000,0.987,0.9739726027397261,0.9963305549339897,0.18650000000000003,0.11691808086428346,0.24450063114536272,0.18365232683982685,0.1102586239582413,0.24402238612836447,0.15846666666666676,0.10141877104377103,0.21770840864179675,0.0424,0.012878246753246754,0.06517099250936326,0.0425,0.01411764705882353,0.064
patch_only,10,100,1000,0.997,0.9931818181818182,1.0,0.897316666666666,0.8345142499246531,0.9452356123747211,0.8702568001443003,0.7612088864735385,0.9449213564213561,0.7027833333333335,0.6742155808559983,0.7451618153561828,0.8256785714285717,0.7616894540644537,0.8685394063244668,0.9046000000000001,0.8700928084726578,0.9348680075524832
issue_plus_patch,10,100,1000,0.987,0.9793103448275862,0.9928585489313836,0.8805666666666664,0.8282032234890616,0.9213939867251247,0.8538881854256858,0.7537511902879779,0.9209416666666665,0.6828666666666667,0.6472423247069237,0.7307435232734214,0.7946952380952383,0.738221388198297,0.8331739246203533,0.8785333333333333,0.845283728832442,0.9061285856935367
