condition,outputs,judgments,functionality_correctness,functionality_correctness_ci_low,functionality_correctness_ci_high,requirement_summary_correctness,requirement_summary_correctness_ci_low,requirement_summary_correctness_ci_high,risk_usefulness,risk_usefulness_ci_low,risk_usefulness_ci_high,unsupported_claim_severity,unsupported_claim_severity_ci_low,unsupported_claim_severity_ci_high,overall_triage_utility,overall_triage_utility_ci_low,overall_triage_utility_ci_high
issue_only,40,80,1.7625,1.625,1.8875,1.8125,1.725,1.8875,1.35,1.225,1.475,0.175,0.0875,0.2625,1.6875,1.5875,1.7875
patch_only,40,80,1.9,1.7875,1.975,1.875,1.8,1.9375,1.2125,1.1,1.325,0.1125,0.05,0.2,1.6875,1.6,1.775
issue_plus_patch,40,80,1.7,1.525,1.85,1.9125,1.85,1.9625,1.275,1.175,1.375,0.15,0.0625,0.2625,1.7625,1.6625,1.8625
