task_id,source,language,repo,gold_files,gold_tests,file_ceiling_r5,test_ceiling_r5,parser_file_r5,parser_file_p5,parser_file_recall_all,parser_test_r5,parser_test_p5,parser_test_recall_all
mui__material-ui-14023,SWE-PolyBench,TypeScript,mui/material-ui,7,1,0.7142857142857143,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,1.0,1.0
mui__material-ui-13743,SWE-PolyBench,TypeScript,mui/material-ui,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mui__material-ui-15430,SWE-PolyBench,TypeScript,mui/material-ui,14,2,0.35714285714285715,1.0,0.35714285714285715,1.0,0.42857142857142855,1.0,1.0,1.0
tailwindlabs__tailwindcss-109,SWE-PolyBench,TypeScript,tailwindlabs/tailwindcss,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mui__material-ui-20133,SWE-PolyBench,TypeScript,mui/material-ui,9,2,0.5555555555555556,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.5
mui__material-ui-36426,SWE-PolyBench,TypeScript,mui/material-ui,9,1,0.5555555555555556,1.0,0.5555555555555556,1.0,0.8888888888888888,1.0,1.0,1.0
keras-team__keras-20002,SWE-PolyBench,Python,keras-team/keras,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
google__gson-2364,SWE-PolyBench,Java,google/gson,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-15814,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sympy__sympy-17022,SWE-bench Lite,Python,sympy/sympy,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sympy__sympy-21055,SWE-bench Lite,Python,sympy/sympy,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-14855,SWE-bench Lite,Python,django/django,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-12286,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-11910,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-16820,SWE-bench Lite,Python,django/django,1,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
django__django-14787,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-13768,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scikit-learn__scikit-learn-14087,SWE-bench Lite,Python,scikit-learn/scikit-learn,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-15388,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
django__django-13447,SWE-bench Lite,Python,django/django,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pydata__xarray-4248,SWE-bench Lite,Python,pydata/xarray,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
